"rule_id","parameter_id","test_code","parameter_code","parameter_name","gender","age_min_days","age_max_days","normal_min","normal_max","normal_text","critical_low","critical_high","unit","reference_source","clinical_note"
"8a07583b-4559-41f8-8161-c817c43a83b5","ae4ba72b-8da5-4aa9-a211-afc9c13634d5","BIO-0013","BIO-0013","Total Protein","All","0","43800","6.4","8.3","6.4 - 8.3 g/dL","","","g/dL","APPROVED_LIS_CONFIG",""
"7e2c094c-5729-4251-a65f-249eb2bc5104","53b3d4e5-4416-4b5e-8ab1-a8696bd00c66","BIO-0014","BIO-0014","Albumin","All","0","43800","3.5","5","3.5 - 5.0 g/dL","","","g/dL","APPROVED_LIS_CONFIG",""
"974da9f2-3ee8-4b91-a5f9-ba7e4d211e7b","3aed5071-1135-4855-9505-e6d417e4fd86","BIO-0015","BIO-0015","Globulin","All","0","43800","2","3.5","2.0 - 3.5 g/dL","","","g/dL","APPROVED_LIS_CONFIG",""
"bfea92be-a08c-471b-a724-620ed0dd8331","c8f8a284-0c86-43bf-93ba-e97bdf8ceef8","BIO-0016","BIO-0016","A/G Ratio","All","0","43800","1.2","2.2","1.2 - 2.2","","","ratio","APPROVED_LIS_CONFIG",""
"cac39388-45b3-4212-9f5f-5a4b97b7ecbf","9021270c-18d1-4ed9-a0ba-002bebac7e17","BIO-0017","BIO-0017","Total Bilirubin","All","0","43800","0.2","1.2","0.2 - 1.2 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"2d206822-5fec-4396-8203-9cce133d3eda","8715cfec-b567-456f-8ac0-2c3bb1750c0e","BIO-0018","BIO-0018","Direct Bilirubin","All","0","43800","0","0.3","0.0 - 0.3 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"c1e2572a-a23f-4acb-a401-f887bfa3d8da","d3ce5970-61f7-4103-a015-a66bc24863d8","BIO-0019","BIO-0019","Indirect Bilirubin","All","0","43800","0.2","0.9","0.2 - 0.9 mg/dL","","","mg/dL","APPROVED_LIS_CONFIG",""
"443fc57c-261b-41e3-96af-242656cc8228","f59161e7-e1af-4d07-9062-4d7dfb807ec5","BIO-0020","BIO-0020","AST (SGOT)","Male","0","43800","","40","< 40 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"6adfa0cd-abbb-49e3-8b66-59ace8e5a5b4","f59161e7-e1af-4d07-9062-4d7dfb807ec5","BIO-0020","BIO-0020","AST (SGOT)","Female","0","43800","","35","< 35 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"e2349f48-77a9-41d2-9f1e-d100f0d740f3","5b0b9792-b7eb-4266-bb9b-132c1b41ff0b","BIO-0021","BIO-0021","ALT (SGPT)","Male","0","43800","","45","< 45 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"953dcb03-b912-456c-8021-bc3c34fee609","5b0b9792-b7eb-4266-bb9b-132c1b41ff0b","BIO-0021","BIO-0021","ALT (SGPT)","Female","0","43800","","35","< 35 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"022373fd-7b71-4963-8009-73f744379bf9","c44fbdde-3a7b-4c9c-8afd-99a87f3e9651","BIO-0022","BIO-0022","Alkaline Phosphatase (ALP)","All","0","43800","44","147","44 - 147 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"7f86aab2-6ef0-4039-84ed-014157467388","833a9de8-c71d-40ec-bcf5-e9b01325fd1d","BIO-0023","BIO-0023","GGT","Male","0","43800","10","71","10 - 71 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"99124fcf-ad52-484c-bec3-1c413e5c1ef0","833a9de8-c71d-40ec-bcf5-e9b01325fd1d","BIO-0023","BIO-0023","GGT","Female","0","43800","6","42","6 - 42 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"b56a4e44-d085-4731-949e-23f033ebd941","5da47540-ace8-40ba-a2eb-29c8f45b6cf9","BIO-0024","BIO-0024","LDH","All","0","43800","140","280","140 - 280 U/L","","","U/L","APPROVED_LIS_CONFIG",""
"6559e640-24fe-424a-99a5-7340ee6bb667","c3df1bf4-3e12-45c9-96b3-d50488ced6cc","BIO-0027","BIO-0027","Total Cholesterol","All","0","43800","","200","< 200 mg/dL (Desirable)","","","mg/dL","APPROVED_LIS_CONFIG",""
"4b173a45-1eff-4987-a64f-99bb43fc2a25","6d6747a3-1a88-4870-b8a9-2241ec7058f7","BIO-0028","BIO-0028","Triglycerides","All","0","43800","","150","< 150 mg/dL (Normal)","","","mg/dL","APPROVED_LIS_CONFIG",""
