"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"c86dab8a-5ef0-42cd-adc4-3f58efc0cb33","df5da3a1-31b5-453d-aa06-319496fc18b3","HEM-0018","HEM-0018","Eosinophil %","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"7c16d120-e0d4-44f9-8e8b-70329a861282","b9fc90fe-5913-4fa1-a3e1-33c807bb95b1","HEM-0019","HEM-0019","Basophil %","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"2e788d91-0a24-4661-bf01-fd424a20bfc6","b2d170ca-a78d-4fce-a0c5-ce7233a77801","HEM-0020","HEM-0020","Absolute Neutrophil Count","Numeric","10^3/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"a6ea88d3-8800-4b45-bfe5-acac1a808eb1","49086d90-176c-4129-a3f0-c2fbf64755d7","HEM-0021","HEM-0021","Absolute Lymphocyte Count","Numeric","10^3/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"8fc93076-3e31-4160-8ac4-3c9b562e887e","80d00995-249f-4f0b-9da3-039acfbd8062","HEM-0022","HEM-0022","Absolute Eosinophil Count","Numeric","cells/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"98c632bf-8392-4168-8fad-e65e2015b4ee","839a1fd6-c7f9-4c8e-aceb-d6f1f287b0e7","HEM-0023","HEM-0023","Reticulocyte Count","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"48cc5b66-9e25-4b03-81f9-86225e8a80d3","69bbf231-5e45-4df0-8365-66a9b35c28c9","HEM-0024","HEM-0024","Absolute Reticulocyte Count","Numeric","10^9/L","1","TRUE","TRUE","Active","","","CONFIGURED"
"8a99c161-ed1b-48f0-9896-c6692434614e","b3151567-8f89-4b94-a947-affac6b74b62","HEM-0025","HEM-0025","Immature Reticulocyte Fraction","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"1b872a15-a8af-4ad7-b6e4-3ad82f874634","7ddb5c00-fb59-4cd7-8e1f-466ad376e41d","HEM-0026","HEM-0026","Peripheral Blood Smear","Text","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"ab29b78b-e92c-4e0b-accc-998338126c33","d68bcb16-6c68-47f3-82d8-68708a339b0b","HEM-0027","HEM-0027","ESR (Westergren)","Numeric","mm/1st hr","1","TRUE","TRUE","Active","","","CONFIGURED"
"6cb8826f-aeb5-47f0-a6d1-f0d1af39e332","5ccafaec-cd92-4d15-8932-49169f015a92","HEM-0028","HEM-0028","Malarial Parasite Smear","Numeric","Descriptive","1","TRUE","TRUE","Active","","","CONFIGURED"
"353d8dee-944b-4a36-a547-2565e637b73a","87b9e7c8-8296-4ea9-b66f-6c576c4dfd28","HEM-0029","HEM-0029","Sickling Test","Numeric","Qualitative","1","TRUE","TRUE","Active","","","CONFIGURED"
"8a7fb12d-9ced-4528-8085-a7e8a5888800","dfbf8817-bfa5-4bfd-9b78-68dc8228fb5e","HEM-0030","HEM-0030","Osmotic Fragility Test","Numeric","% hemolysis","1","TRUE","TRUE","Active","","","CONFIGURED"
"7efa0401-cbf8-4f42-9dd6-8423dd093ef3","38ccd952-8cd8-4661-bb68-217746759f09","HEM-0031","HEM-0031","G6PD Screen","Numeric","U/g Hb","1","TRUE","TRUE","Active","","","CONFIGURED"
